,stage,epoch,step,loss,runtime,samples_per_second,steps_per_second,total_flos
0,,0.01,500,1.5685,,,,
1,,0.01,1000,0.8524,,,,
2,,0.02,1500,0.7879,,,,
3,,0.03,2000,0.7128,,,,
4,,0.03,2500,0.6819,,,,
5,,0.04,3000,0.6684,,,,
6,,0.05,3500,0.6203,,,,
7,,0.05,4000,0.61,,,,
8,,0.06,4500,0.5979,,,,
9,,0.07,5000,0.5869,,,,
10,eval,0.07,5000,0.5101093649864197,503.739,281.656,17.604,
11,,0.07,5500,0.5768,,,,
12,,0.08,6000,0.5868,,,,
13,,0.09,6500,0.5526,,,,
14,,0.09,7000,0.5477,,,,
15,,0.1,7500,0.5401,,,,
16,,0.11,8000,0.543,,,,
17,,0.11,8500,0.5302,,,,
18,,0.12,9000,0.5174,,,,
19,,0.13,9500,0.5123,,,,
20,,0.13,10000,0.5072,,,,
21,eval,0.13,10000,0.44545978307724,504.6413,281.152,17.573,
22,,0.14,10500,0.5005,,,,
23,,0.15,11000,0.5002,,,,
24,,0.15,11500,0.4926,,,,
25,,0.16,12000,0.4975,,,,
26,,0.17,12500,0.4957,,,,
27,,0.17,13000,0.4859,,,,
28,,0.18,13500,0.485,,,,
29,,0.19,14000,0.4842,,,,
30,,0.19,14500,0.4695,,,,
31,,0.2,15000,0.4693,,,,
32,eval,0.2,15000,0.40155306458473206,502.2082,282.514,17.658,
33,,0.21,15500,0.4681,,,,
34,,0.21,16000,0.4642,,,,
35,,0.22,16500,0.4629,,,,
36,,0.23,17000,0.4614,,,,
37,,0.23,17500,0.4512,,,,
38,,0.24,18000,0.4305,,,,
39,,0.25,18500,0.4642,,,,
40,,0.25,19000,0.4354,,,,
41,,0.26,19500,0.4368,,,,
42,,0.27,20000,0.4314,,,,
43,eval,0.27,20000,0.38028576970100403,502.133,282.557,17.661,
44,,0.27,20500,0.4377,,,,
45,,0.28,21000,0.4293,,,,
46,,0.29,21500,0.4295,,,,
47,,0.29,22000,0.4369,,,,
48,,0.3,22500,0.4213,,,,
49,,0.31,23000,0.431,,,,
50,,0.31,23500,0.4136,,,,
51,,0.32,24000,0.4202,,,,
52,,0.33,24500,0.4134,,,,
53,,0.33,25000,0.4235,,,,
54,eval,0.33,25000,0.35732948780059814,503.8695,281.583,17.6,
55,,0.34,25500,0.4057,,,,
56,,0.35,26000,0.4128,,,,
57,,0.35,26500,0.4088,,,,
58,,0.36,27000,0.4042,,,,
59,,0.37,27500,0.4109,,,,
60,,0.37,28000,0.4014,,,,
61,,0.38,28500,0.4014,,,,
62,,0.39,29000,0.3947,,,,
63,,0.39,29500,0.3973,,,,
64,,0.4,30000,0.411,,,,
65,eval,0.4,30000,0.34535178542137146,504.5721,281.191,17.575,
66,,0.41,30500,0.3855,,,,
67,,0.41,31000,0.3934,,,,
68,,0.42,31500,0.381,,,,
69,,0.43,32000,0.3908,,,,
70,,0.43,32500,0.3856,,,,
71,,0.44,33000,0.396,,,,
72,,0.45,33500,0.3965,,,,
73,,0.45,34000,0.382,,,,
74,,0.46,34500,0.3771,,,,
75,,0.47,35000,0.3753,,,,
76,eval,0.47,35000,0.32728350162506104,505.0523,280.923,17.559,
77,,0.47,35500,0.3857,,,,
78,,0.48,36000,0.3859,,,,
79,,0.49,36500,0.3921,,,,
80,,0.49,37000,0.3635,,,,
81,,0.5,37500,0.3761,,,,
82,,0.51,38000,0.3594,,,,
83,,0.51,38500,0.3675,,,,
84,,0.52,39000,0.3685,,,,
85,,0.53,39500,0.3546,,,,
86,,0.53,40000,0.3657,,,,
87,eval,0.53,40000,0.31441086530685425,505.055,280.922,17.558,
88,,0.54,40500,0.362,,,,
89,,0.55,41000,0.3645,,,,
90,,0.55,41500,0.3602,,,,
91,,0.56,42000,0.3503,,,,
92,,0.57,42500,0.3588,,,,
93,,0.57,43000,0.3596,,,,
94,,0.58,43500,0.3588,,,,
95,,0.59,44000,0.3571,,,,
96,,0.59,44500,0.3496,,,,
97,,0.6,45000,0.3463,,,,
98,eval,0.6,45000,0.30280354619026184,503.171,281.974,17.624,
99,,0.61,45500,0.3572,,,,
100,,0.61,46000,0.3325,,,,
101,,0.62,46500,0.3532,,,,
102,,0.63,47000,0.3453,,,,
103,,0.63,47500,0.3349,,,,
104,,0.64,48000,0.3407,,,,
105,,0.65,48500,0.3517,,,,
106,,0.65,49000,0.3428,,,,
107,,0.66,49500,0.3396,,,,
108,,0.67,50000,0.3358,,,,
109,eval,0.67,50000,0.29097649455070496,503.5789,281.745,17.61,
110,,0.67,50500,0.3228,,,,
111,,0.68,51000,0.3459,,,,
112,,0.69,51500,0.3322,,,,
113,,0.69,52000,0.3382,,,,
114,,0.7,52500,0.3407,,,,
115,,0.71,53000,0.3292,,,,
116,,0.71,53500,0.3279,,,,
117,,0.72,54000,0.3184,,,,
118,,0.73,54500,0.3388,,,,
119,,0.73,55000,0.3228,,,,
120,eval,0.73,55000,0.2802800238132477,502.569,282.311,17.645,
121,,0.74,55500,0.3143,,,,
122,,0.75,56000,0.3162,,,,
123,,0.75,56500,0.3186,,,,
124,,0.76,57000,0.3165,,,,
125,,0.77,57500,0.32,,,,
126,,0.77,58000,0.3144,,,,
127,,0.78,58500,0.3243,,,,
128,,0.79,59000,0.3164,,,,
129,,0.79,59500,0.3235,,,,
130,,0.8,60000,0.3252,,,,
131,eval,0.8,60000,0.27005866169929504,502.7558,282.207,17.639,
132,,0.81,60500,0.3241,,,,
133,,0.81,61000,0.311,,,,
134,,0.82,61500,0.3198,,,,
135,,0.83,62000,0.3088,,,,
136,,0.83,62500,0.3146,,,,
137,,0.84,63000,0.3007,,,,
138,,0.85,63500,0.3138,,,,
139,,0.85,64000,0.3118,,,,
140,,0.86,64500,0.3055,,,,
141,,0.87,65000,0.3038,,,,
142,eval,0.87,65000,0.2629770338535309,504.3055,281.339,17.585,
143,,0.87,65500,0.308,,,,
144,,0.88,66000,0.309,,,,
145,,0.89,66500,0.3121,,,,
146,,0.89,67000,0.3038,,,,
147,,0.9,67500,0.2944,,,,
148,,0.91,68000,0.3065,,,,
149,,0.91,68500,0.3053,,,,
150,,0.92,69000,0.293,,,,
151,,0.93,69500,0.3088,,,,
152,,0.93,70000,0.2932,,,,
153,eval,0.93,70000,0.255795419216156,503.0205,282.058,17.63,
154,,0.94,70500,0.3078,,,,
155,,0.95,71000,0.2959,,,,
156,,0.95,71500,0.2968,,,,
157,,0.96,72000,0.2971,,,,
158,,0.97,72500,0.2899,,,,
159,,0.97,73000,0.2849,,,,
160,,0.98,73500,0.3014,,,,
161,,0.99,74000,0.2933,,,,
162,,0.99,74500,0.2999,,,,
163,,1.0,75000,0.298,,,,
164,eval,1.0,75000,0.25253215432167053,503.5004,281.789,17.613,
165,train,1.0,75031,0.4065897386869197,25196.9937,47.644,2.978,1.6677544794749338e+17
